Entity,Code,Year,Estimated historic plastic fate
Discarded,,1950,100
Discarded,,1951,100
Discarded,,1952,100
Discarded,,1953,100
Discarded,,1954,100
Discarded,,1955,100
Discarded,,1956,100
Discarded,,1957,100
Discarded,,1958,100
Discarded,,1959,100
Discarded,,1960,100
Discarded,,1961,100
Discarded,,1962,100
Discarded,,1963,100
Discarded,,1964,100
Discarded,,1965,100
Discarded,,1966,100
Discarded,,1967,100
Discarded,,1968,100
Discarded,,1969,100
Discarded,,1970,100
Discarded,,1971,100
Discarded,,1972,100
Discarded,,1973,100
Discarded,,1974,100
Discarded,,1975,100
Discarded,,1976,100
Discarded,,1977,100
Discarded,,1978,100
Discarded,,1979,100
Discarded,,1980,100
Discarded,,1981,98.3
Discarded,,1982,97.6
Discarded,,1983,96.9
Discarded,,1984,96.2
Discarded,,1985,95.5
Discarded,,1986,94.8
Discarded,,1987,94.1
Discarded,,1988,92.8
Discarded,,1989,91.4
Discarded,,1990,90
Discarded,,1991,88.6
Discarded,,1992,87.2
Discarded,,1993,85.8
Discarded,,1994,84.4
Discarded,,1995,83
Discarded,,1996,81.6
Discarded,,1997,80.2
Discarded,,1998,78.8
Discarded,,1999,77.4
Discarded,,2000,76
Discarded,,2001,74.6
Discarded,,2002,73.2
Discarded,,2003,71.8
Discarded,,2004,70.4
Discarded,,2005,69
Discarded,,2006,67.6
Discarded,,2007,66.2
Discarded,,2008,64.8
Discarded,,2009,63.4
Discarded,,2010,62
Discarded,,2011,60.6
Discarded,,2012,59.2
Discarded,,2013,57.8
Discarded,,2014,56.4
Discarded,,2015,55
Incinerated,,1950,0
Incinerated,,1951,0
Incinerated,,1952,0
Incinerated,,1953,0
Incinerated,,1954,0
Incinerated,,1955,0
Incinerated,,1956,0
Incinerated,,1957,0
Incinerated,,1958,0
Incinerated,,1959,0
Incinerated,,1960,0
Incinerated,,1961,0
Incinerated,,1962,0
Incinerated,,1963,0
Incinerated,,1964,0
Incinerated,,1965,0
Incinerated,,1966,0
Incinerated,,1967,0
Incinerated,,1968,0
Incinerated,,1969,0
Incinerated,,1970,0
Incinerated,,1971,0
Incinerated,,1972,0
Incinerated,,1973,0
Incinerated,,1974,0
Incinerated,,1975,0
Incinerated,,1976,0
Incinerated,,1977,0
Incinerated,,1978,0
Incinerated,,1979,0
Incinerated,,1980,0
Incinerated,,1981,1.7
Incinerated,,1982,2.4
Incinerated,,1983,3.1
Incinerated,,1984,3.8
Incinerated,,1985,4.5
Incinerated,,1986,5.2
Incinerated,,1987,5.9
Incinerated,,1988,6.6
Incinerated,,1989,7.3
Incinerated,,1990,8
Incinerated,,1991,8.7
Incinerated,,1992,9.4
Incinerated,,1993,10.1
Incinerated,,1994,10.8
Incinerated,,1995,11.5
Incinerated,,1996,12.2
Incinerated,,1997,12.9
Incinerated,,1998,13.6
Incinerated,,1999,14.3
Incinerated,,2000,15
Incinerated,,2001,15.7
Incinerated,,2002,16.4
Incinerated,,2003,17.1
Incinerated,,2004,17.8
Incinerated,,2005,18.5
Incinerated,,2006,19.2
Incinerated,,2007,19.9
Incinerated,,2008,20.6
Incinerated,,2009,21.3
Incinerated,,2010,22
Incinerated,,2011,22.7
Incinerated,,2012,23.4
Incinerated,,2013,24.1
Incinerated,,2014,24.8
Incinerated,,2015,25.5
Recycled,,1950,0
Recycled,,1951,0
Recycled,,1952,0
Recycled,,1953,0
Recycled,,1954,0
Recycled,,1955,0
Recycled,,1956,0
Recycled,,1957,0
Recycled,,1958,0
Recycled,,1959,0
Recycled,,1960,0
Recycled,,1961,0
Recycled,,1962,0
Recycled,,1963,0
Recycled,,1964,0
Recycled,,1965,0
Recycled,,1966,0
Recycled,,1967,0
Recycled,,1968,0
Recycled,,1969,0
Recycled,,1970,0
Recycled,,1971,0
Recycled,,1972,0
Recycled,,1973,0
Recycled,,1974,0
Recycled,,1975,0
Recycled,,1976,0
Recycled,,1977,0
Recycled,,1978,0
Recycled,,1979,0
Recycled,,1980,0
Recycled,,1981,0
Recycled,,1982,0
Recycled,,1983,0
Recycled,,1984,0
Recycled,,1985,0
Recycled,,1986,0
Recycled,,1987,0
Recycled,,1988,0.6
Recycled,,1989,1.3
Recycled,,1990,2
Recycled,,1991,2.7
Recycled,,1992,3.4
Recycled,,1993,4.1
Recycled,,1994,4.8
Recycled,,1995,5.5
Recycled,,1996,6.2
Recycled,,1997,6.9
Recycled,,1998,7.6
Recycled,,1999,8.3
Recycled,,2000,9
Recycled,,2001,9.7
Recycled,,2002,10.4
Recycled,,2003,11.1
Recycled,,2004,11.8
Recycled,,2005,12.5
Recycled,,2006,13.2
Recycled,,2007,13.9
Recycled,,2008,14.6
Recycled,,2009,15.3
Recycled,,2010,16
Recycled,,2011,16.7
Recycled,,2012,17.4
Recycled,,2013,18.1
Recycled,,2014,18.8
Recycled,,2015,19.5
